id,gender,age,spend
0175,M,24,34.29
0176,M,55,29.63
0177,M,23,162.97
0178,F,33,171.14
0179,F,18,12.21
0180,F,18,40.45
0181,M,48,24.58
0182,F,22,232.95
0183,F,39,212.8
0184,F,89,71.75
0185,F,33,154.26
0186,F,35,214.74
0187,F,46,74.24
0188,F,21,147.5
0189,F,30,14.45
0190,F,49,198.35
0191,F,42,150.17
0192,F,18,73.96
0193,F,19,197.29
0194,M,23,25.78
0195,F,21,109.26
0196,F,23,212.09
0197,M,98,33.43
0198,F,45,169.65
0199,M,93,27.36
0200,F,57,109.65
0201,F,21,296.43
0202,F,29,45.15
0203,M,52,48.93
0204,M,61,291.41
0205,F,21,48.2
0206,F,53,140.73
0207,F,19,120.08
0208,M,51,263.36
0209,F,24,106.34
0210,F,42,108.56
0211,F,53,184.79
0212,F,70,76.26
0213,M,35,131.11
0214,F,26,13.5
0215,M,23,133.8
0216,F,46,20.86
0217,F,20,114.28
0218,F,34,82.96
0219,M,44,70.29
0220,F,85,49.6
0221,F,18,108.97
0222,F,77,274.48
0223,F,50,67.63
0224,M,44,158.95
0225,F,29,147.56
0226,F,46,12.74
0227,M,27,299.26
0228,F,46,225.67
0229,F,21,98.63
0230,F,23,271.09
0231,F,63,240.73
0232,M,43,271.14
0233,F,70,129.83
0234,M,40,175.55
0235,F,37,205.12
0236,F,55,23.78
0237,F,20,32.36
0238,M,22,219.13
0239,F,19,60.47
0240,F,20,105.91
0241,F,21,33.71
0242,M,49,220.48
0243,F,18,76.37
0244,F,21,210.28
0245,F,29,56.97
0246,F,21,184.45
0247,F,69,293.0
0248,F,21,110.85
0249,F,21,219.15
0250,M,53,14.06
0251,M,24,169.82
0252,M,22,271.66
0253,M,45,248.01
0254,M,50,81.3
0255,M,44,236.73
0256,M,51,227.99
0257,F,21,270.07
0258,M,22,243.3
0259,M,33,127.25
0260,F,40,93.82
0261,F,21,254.73
0262,F,21,179.53
0263,F,22,208.03
0264,M,22,265.15
0265,F,67,279.17
0266,F,85,36.36
0267,F,28,28.47
0268,F,22,243.86
0269,F,41,16.85
0270,M,76,41.84
0271,F,25,278.64
0272,F,71,124.03
0273,M,22,202.25
0274,M,28,240.85
0275,M,23,66.44
0276,M,43,210.16
0277,F,55,227.7
0278,F,80,151.66
0279,F,24,36.32
0280,F,22,122.16
0281,F,20,65.92
0282,F,18,234.14
0283,F,40,203.54
0284,F,23,154.99
0285,F,58,40.47
0286,F,75,238.88
0287,M,26,192.68
0288,M,46,24.68
0289,M,25,168.14
0290,F,92,188.44
0291,F,24,92.31
0292,F,43,71.26
0293,F,80,127.71
0294,F,39,26.31
0295,F,96,284.49
0296,M,27,164.02
0297,F,23,126.08
0298,M,94,155.32
0299,M,23,126.01
0300,F,20,49.35
0301,F,94,118.45
0302,F,18,289.27
0303,M,20,112.62
0304,F,60,145.74
0305,F,21,52.28
0306,M,55,128.07
0307,F,56,100.35
0308,F,27,28.02
0309,F,39,235.03
0310,F,25,192.69
0311,F,19,255.94
0312,F,23,26.18
0313,M,22,79.06
0314,M,19,184.76
0315,F,60,248.98
0316,F,25,34.08
0317,M,19,262.3
0318,M,19,173.93
0319,F,20,188.48
0320,F,35,119.98
0321,F,27,197.05
0322,F,19,292.36
0323,M,19,208.24
0324,F,46,119.4
0325,F,34,36.1
0326,F,26,141.77
0327,M,53,290.55
0328,M,19,241.82
0329,F,20,231.37
0330,F,24,272.02
0331,F,32,178.22
0332,F,24,60.62
0333,M,86,127.5
0334,F,27,192.72
0335,F,55,241.29
0336,F,24,6.01
0337,M,24,145.28
0338,F,92,236.75
0339,M,45,204.36
0340,F,39,273.01
0341,M,33,45.08
0342,F,27,208.34
0343,F,57,129.86
0344,F,23,14.6
0345,F,24,246.44
0346,F,46,127.05
0347,M,23,161.04
0348,M,19,145.15
0349,F,81,213.51
0350,M,49,192.68
0351,F,20,91.66
0352,F,54,247.06
0353,F,24,10.81
0354,F,22,170.02
0355,F,71,127.79
0356,F,21,41.97
0357,F,20,182.89
0358,F,39,44.96
0359,F,24,293.24
0360,F,99,18.66
0361,F,21,38.24
0362,M,84,236.25
0363,F,18,45.78
0364,F,26,155.51
0365,F,75,209.12
0366,F,54,44.09
0367,M,24,202.87
0368,M,22,41.74
0369,F,20,276.68
0370,F,51,144.02
0371,F,32,288.48
0372,M,20,57.68
0373,F,21,211.3
0374,M,18,203.82
0375,F,21,156.82
0376,M,52,14.17
0377,F,30,143.73
0378,F,22,222.07
0379,F,36,258.11
0380,M,37,137.66
0381,F,97,128.47
0382,M,69,29.5
0383,M,55,248.74
0384,M,25,75.28
0385,F,33,9.27
0386,M,30,194.62
0387,M,49,280.39
0388,F,47,70.29
0389,F,42,16.52
0390,M,37,294.71
0391,F,21,54.13
0392,F,24,177.03
0393,M,21,222.13
0394,M,19,50.49
0395,M,20,182.27
0396,F,97,163.48
0397,M,18,131.91
0398,F,21,127.51
0399,F,44,73.6
0400,M,39,141.52
0401,F,91,191.65
0402,F,21,118.74
0403,F,65,197.36
0404,F,30,147.38
0405,F,36,28.18
0406,F,20,166.05
0407,F,21,285.65
0408,M,42,201.75
0409,F,24,162.64
0410,M,94,16.84
0411,F,24,130.03
0412,M,20,281.37
0413,M,25,237.49
0414,M,19,286.27
0415,F,22,123.08
0416,F,25,90.28
0417,F,40,196.64
0418,M,18,295.58
0419,F,55,94.24
0420,F,52,37.67
0421,F,79,242.05
0422,F,81,170.32
0423,F,52,201.39
0424,M,24,117.71
0425,M,23,181.57
0426,F,22,198.89
0427,F,94,228.44
0428,F,20,61.52
0429,F,20,174.55
0430,F,45,182.18
0431,M,28,257.02
0432,F,77,208.45
0433,F,72,168.97
0434,F,81,39.57
0435,F,23,60.06
0436,F,19,10.66
0437,F,23,281.08
0438,F,28,290.83
0439,F,32,191.63
0440,F,62,153.17
0441,F,52,42.43
0442,F,36,150.28
0443,F,33,43.63
0444,M,24,61.78
0445,F,47,264.75
0446,F,18,118.76
0447,F,67,116.85
0448,F,68,117.64
0449,F,99,221.75
0450,F,96,184.1
0451,M,24,231.61
0452,F,21,294.84
0453,F,53,227.96
0454,F,34,218.21
0455,M,56,211.6
0456,F,27,268.21
0457,F,97,84.41
0458,F,41,240.91
0459,F,90,153.59
0460,F,83,274.18
0461,M,50,128.92
0462,F,21,178.09
0463,M,78,246.01
0464,F,99,247.85
0465,F,18,189.0
0466,F,71,45.19
0467,M,22,231.67
0468,M,44,150.04
0469,F,45,143.62
0470,M,87,218.82
0471,F,23,117.28
0472,F,50,204.17
0473,F,22,23.23
0474,F,34,271.03
0475,F,23,299.18
0476,F,19,27.21
0477,M,22,51.17
0478,M,18,37.31
0479,F,75,137.3
0480,F,40,297.13
0481,F,95,162.0
0482,F,71,101.44
0483,F,20,281.14
0484,M,39,8.01
0485,M,97,275.31
0486,F,22,278.62
0487,F,67,200.47
0488,F,39,52.05
0489,F,18,31.19
0490,F,70,278.0
0491,F,24,15.48
0492,F,24,252.97
0493,F,82,60.59
0494,M,18,224.66
0495,F,36,148.54
0496,M,61,273.16
0497,M,58,25.52
0498,F,69,221.57
0499,F,81,64.47
0500,F,18,273.64
0501,F,71,216.38
0502,F,31,112.19
0503,F,21,236.08
0504,F,51,190.62
0505,F,22,25.35
0506,F,18,172.54
0507,M,58,205.39
0508,F,45,88.3
0509,F,38,233.39
0510,F,22,103.9
0511,F,51,69.02
0512,M,92,159.96
0513,F,39,102.25
0514,M,20,157.27
0515,M,92,96.06
0516,F,99,62.43
0517,M,33,12.76
0518,F,29,158.08
0519,F,50,188.53
0520,M,32,257.96
0521,F,35,42.84
0522,F,61,162.77
0523,F,89,283.65
0524,M,74,165.56
0525,F,50,63.94
0526,F,21,276.74
0527,F,21,229.75
0528,F,48,104.41
0529,F,25,247.61
0530,F,60,191.48
0531,F,18,231.27
0532,F,78,201.31
0533,F,53,156.83
0534,M,54,284.49
0535,F,56,241.96
0536,M,21,254.73
0537,F,72,279.57
0538,F,28,77.85
0539,F,26,149.75
0540,F,18,23.99
0541,M,51,220.39
0542,M,42,181.54
0543,M,57,293.68
0544,F,31,80.81
0545,F,70,252.95
0546,F,46,97.75
0547,F,23,254.43
0548,F,45,78.86
0549,M,21,117.05
0550,M,22,14.45
0551,M,31,25.05
0552,F,98,100.82
0553,M,39,148.42
0554,F,19,46.18
0555,M,49,137.8
0556,F,54,128.71
0557,F,50,122.7
0558,M,29,174.71
0559,M,43,162.6
0560,F,44,136.73
0561,F,68,294.0
0562,F,21,16.84
0563,M,20,9.37
0564,F,88,34.26
0565,M,64,80.15
0566,M,48,122.44
0567,F,23,232.65
0568,F,19,227.05
0569,F,33,178.67
0570,F,27,97.21
0571,F,24,159.76
0572,M,40,284.25
0573,F,21,59.29
0574,F,21,41.09
0575,M,26,38.84
0576,F,40,195.16
0577,M,52,230.36
0578,F,84,106.42
0579,F,37,205.5
0580,F,23,261.96
0581,F,30,49.26
0582,F,23,234.7
0583,M,31,229.83
0584,F,22,39.55
0585,M,45,229.62
0586,M,18,29.5
0587,F,19,201.78
0588,F,21,248.07
0589,F,29,118.77
0590,F,74,94.58
0591,M,71,258.81
0592,F,58,60.6
0593,F,20,121.34
0594,F,92,223.74
0595,F,63,40.55
0596,F,23,83.81
0597,F,91,287.17
0598,F,45,123.81
0599,M,18,108.01
0600,F,49,7.49
0601,F,68,159.25
0602,M,49,209.98
0603,F,46,232.32
0604,F,37,14.56
0605,F,42,181.65
0606,F,38,22.77
0607,F,20,266.43
0608,F,96,90.01
0609,F,22,146.51
0610,M,79,65.77
0611,F,87,51.77
0612,M,24,13.34
0613,F,38,115.97
0614,F,58,189.78
0615,F,29,39.59
0616,F,18,221.74
0617,M,52,217.59
0618,F,72,49.28
0619,M,20,24.51
0620,F,53,259.26
0621,F,21,59.82
0622,M,28,228.91
0623,M,38,110.08
0624,M,24,288.05
0625,F,18,185.84
0626,F,21,62.75
0627,F,65,250.31
0628,F,21,31.75
0629,M,86,5.55
0630,F,21,69.45
0631,M,52,17.15
0632,F,47,288.71
0633,F,50,180.68
0634,F,21,150.81
0635,F,46,255.74
0636,F,23,90.51
0637,F,41,52.24
0638,F,96,70.0
0639,F,20,121.73
0640,F,21,230.21
0641,M,36,135.84
0642,F,24,103.87
0643,F,72,6.18
0644,F,38,251.33
0645,F,69,149.94
0646,M,22,115.87
0647,M,70,32.31
0648,F,77,130.21
0649,F,19,80.33
0650,F,39,188.89
0651,F,29,167.08
0652,F,24,203.13
0653,M,67,26.74
0654,F,37,52.54
0655,F,20,200.14
0656,F,22,216.59
0657,F,22,6.19
0658,F,50,54.21
0659,M,42,49.86
0660,F,20,83.96
0661,F,19,245.36
0662,M,99,48.53
0663,F,71,269.56
0664,M,41,67.66
0665,F,46,165.21
0666,F,47,65.69
0667,F,51,90.39
0668,F,31,77.44
0669,M,23,124.03
0670,M,24,8.23
0671,M,79,66.22
0672,M,19,55.82
0673,F,19,279.54
0674,F,18,69.5
0675,F,24,84.75
0676,F,52,197.57
0677,M,88,108.87
0678,F,24,239.37
0679,F,45,87.39
0680,F,51,98.09
0681,M,24,234.7
0682,F,66,276.92
0683,F,25,263.57
0684,F,18,228.87
0685,F,45,30.57
0686,F,45,14.01
0687,F,22,53.73
0688,F,65,57.38
0689,M,36,252.66
0690,F,19,106.34
0691,F,22,247.71
0692,M,78,247.96
0693,F,46,238.52
0694,F,82,61.05
0695,M,37,261.9
0696,F,41,44.95
0697,F,23,89.05
0698,M,87,6.02
0699,F,73,88.05
0700,F,24,99.7
0701,M,29,149.3
0702,M,24,73.49
0703,F,28,201.83
0704,F,82,243.1
0705,M,19,143.48
0706,M,23,217.54
0707,M,65,289.4
0708,F,18,165.07
0709,M,24,260.36
0710,F,37,170.87
0711,F,75,19.19
0712,F,34,162.05
0713,F,31,152.98
0714,M,24,219.94
0715,F,59,270.14
0716,F,47,94.35
0717,F,24,248.84
0718,M,25,97.59
0719,M,18,141.0
0720,F,45,77.38
0721,F,24,24.21
0722,F,38,104.83
0723,F,18,217.4
0724,M,65,17.8
0725,F,47,152.62
0726,F,70,186.86
0727,M,47,102.24
0728,M,24,121.73
0729,M,99,264.15
0730,M,25,157.93
0731,F,53,48.6
0732,F,51,108.85
0733,F,23,289.67
0734,F,22,41.01
0735,F,99,261.03
0736,M,66,203.61
0737,F,19,137.22
0738,M,84,127.0
0739,F,44,255.32
0740,M,37,123.78
0741,M,22,125.03
0742,M,21,206.32
0743,M,40,75.39
0744,F,93,73.7
0745,M,59,215.11
0746,F,26,113.81
0747,F,75,185.08
0748,M,72,284.76
0749,M,28,25.32
0750,F,22,222.34
0751,F,52,49.72
0752,M,22,79.96
0753,F,25,251.14
0754,F,18,201.4
0755,F,29,48.62
0756,F,45,265.46
0757,F,44,117.21
0758,F,86,35.43
0759,M,18,191.46
0760,F,67,177.61
0761,F,87,193.85
0762,F,24,71.48
0763,M,87,130.53
0764,F,19,37.5
0765,M,53,284.19
0766,F,33,118.82
0767,F,77,259.45
0768,M,56,21.25
0769,F,41,58.48
0770,F,74,176.72
0771,M,21,256.58
0772,F,46,254.3
0773,F,19,129.6
0774,F,40,37.69
0775,F,20,20.82
0776,F,20,191.59
0777,M,80,42.86
0778,F,85,246.19
0779,M,19,170.3
0780,F,51,234.44
0781,M,29,205.62
0782,F,20,295.99
0783,F,75,240.63
0784,F,20,295.81
0785,M,21,232.62
0786,F,61,158.42
0787,F,58,29.69
0788,F,53,185.79
0789,F,28,192.47
0790,M,84,98.69
0791,F,94,110.99
0792,F,75,166.92
0793,F,18,16.7
0794,M,26,192.37
0795,F,53,192.82
0796,M,30,93.63
0797,F,18,59.02
0798,F,39,107.51
0799,F,49,234.84
0800,M,18,55.4
0801,F,98,153.3
0802,F,23,297.47
0803,F,36,34.56
0804,F,19,53.69
0805,F,91,216.26
0806,F,71,51.34
0807,F,66,27.51
0808,M,19,157.4
0809,M,63,246.01
0810,M,53,267.85
0811,M,89,147.0
0812,M,54,248.73
0813,F,45,129.42
0814,F,20,15.16
0815,F,61,213.43
0816,F,25,162.9
0817,M,64,173.79
0818,F,21,67.87
0819,M,32,166.7
0820,F,20,48.73
0821,F,19,244.24
0822,F,28,84.77
0823,M,24,197.0
0824,F,83,28.43
0825,F,49,213.18
0826,F,23,60.24
0827,M,47,83.84
0828,F,79,111.12
0829,F,33,133.85
0830,F,78,185.31
0831,F,20,286.71
0832,F,29,257.14
0833,F,22,167.62
0834,M,21,174.89
0835,F,18,186.74
0836,F,28,133.65
0837,F,20,127.84
0838,F,41,111.13
0839,M,27,167.29
0840,M,22,277.0
0841,M,21,170.99
0842,M,22,136.51
0843,F,34,128.21
0844,F,29,225.82
0845,M,55,161.28
0846,M,69,257.22
0847,M,20,45.55
0848,M,20,223.79
0849,F,64,181.48
0850,F,26,201.3
0851,F,20,144.51
0852,M,51,112.81
0853,F,64,292.01
0854,F,22,296.78
0855,F,18,54.23
0856,M,37,85.56
0857,F,43,91.0
0858,F,19,107.78
0859,F,19,198.48
0860,M,18,261.17
0861,F,19,140.13
0862,F,23,172.17
0863,F,99,119.6
0864,F,49,110.38
0865,F,19,190.28
0866,F,45,76.26
0867,F,24,136.26
0868,F,19,136.68
0869,F,24,36.5
0870,F,42,206.82
0871,F,45,159.51
0872,M,51,215.91
0873,M,89,128.34
0874,F,24,215.7
0875,F,19,157.37
0876,M,33,182.23
0877,F,42,282.52
0878,F,24,173.67
0879,M,24,106.66
0880,F,18,157.6
0881,F,57,138.07
0882,F,24,126.0
0883,F,19,124.13
0884,M,27,129.43
0885,M,22,122.82
0886,F,62,204.95
0887,M,37,279.84
0888,F,73,188.36
0889,F,23,231.41
0890,F,26,219.8
0891,M,26,243.39
0892,F,68,266.74
0893,M,22,272.88
0894,F,22,254.12
0895,F,73,192.69
0896,F,44,165.5
0897,F,21,236.67
0898,F,66,79.46
0899,F,22,140.12
0900,F,26,188.27
0901,M,77,267.88
0902,F,86,61.37
0903,F,21,199.82
0904,M,37,33.71
0905,F,22,296.29
0906,F,40,121.49
0907,F,27,289.11
0908,M,49,66.31
0909,F,21,24.08
0910,F,30,253.48
0911,F,64,241.81
0912,F,49,235.49
0913,M,21,127.46
0914,F,24,189.66
0915,F,36,185.77
0916,F,36,55.03
0917,M,21,91.23
0918,F,21,84.28
0919,F,73,283.31
0920,M,61,160.99
0921,M,47,43.36
0922,F,90,29.15
0923,F,21,285.99
0924,F,89,56.0
0925,M,42,51.66
0926,F,63,266.64
0927,M,89,199.04
0928,M,51,119.82
0929,F,33,200.87
0930,F,50,193.61
0931,F,20,276.61
0932,F,48,235.57
0933,F,23,229.29
0934,F,29,246.8
0935,M,36,258.45
0936,F,78,247.29
0937,M,29,163.8
0938,F,19,162.86
0939,F,79,200.87
0940,M,46,115.04
0941,F,24,55.78
0942,M,24,156.09
0943,F,35,36.8
0944,F,55,121.87
0945,F,19,58.05
0946,F,18,37.71
0947,F,26,208.86
0948,F,44,71.48
0949,F,29,87.67
0950,F,22,275.64
0951,F,34,118.67
0952,M,18,192.18
0953,M,40,274.86
0954,F,20,208.4
0955,F,85,242.74
0956,M,24,137.69
0957,F,22,47.55
0958,M,48,44.61
0959,F,49,218.43
0960,M,22,36.26
0961,F,19,257.82
0962,F,96,192.57
0963,F,39,264.82
0964,F,94,295.92
0965,F,33,201.91
0966,F,24,229.41
0967,F,19,117.97
0968,F,19,101.6
0969,F,30,208.43
0970,F,30,121.01
0971,F,19,231.95
0972,F,45,154.02
0973,F,20,69.93
0974,M,22,191.13
0975,M,80,138.26
0976,M,56,295.09
0977,M,26,33.69
0978,F,27,162.3
0979,F,41,193.31
0980,F,54,177.01
0981,F,19,201.03
0982,M,49,43.47
0983,F,29,165.95
0984,M,18,161.07
0985,F,24,69.61
0986,F,37,231.33
0987,F,54,113.22
0988,F,21,229.36
0989,F,38,58.96
0990,F,20,9.31
0991,F,56,286.31
0992,F,28,269.85
0993,F,32,166.12
0994,M,18,106.46
0995,F,22,171.73
0996,F,46,199.73
0997,F,23,93.07
0998,F,30,140.04
0999,F,24,71.62
1000,M,26,42.57
1001,M,30,38.46
1002,M,23,264.83
1003,M,85,282.99
1004,M,80,163.12
1005,M,26,146.63
1006,M,26,194.22
1007,M,24,219.63
1008,F,45,214.78
1009,F,31,89.48
1010,F,86,106.53
1011,F,18,224.06
1012,F,25,217.61
1013,M,31,278.98
1014,F,24,112.09
1015,F,96,91.84
1016,F,21,95.64
1017,F,19,277.67
1018,F,57,263.16
1019,F,22,125.87
1020,M,19,115.88
1021,F,18,128.47
1022,F,44,158.42
1023,F,77,278.15
1024,M,37,118.83
1025,M,65,21.02
1026,F,90,212.52
1027,F,38,151.92
1028,F,22,90.76
1029,M,18,263.03
1030,F,45,271.49
1031,F,48,115.85
1032,M,76,24.42
1033,F,75,159.27
1034,F,22,65.55
1035,F,20,234.53
1036,F,23,25.47
1037,F,19,82.98
1038,M,19,48.34
1039,F,21,13.31
1040,M,32,133.89
1041,F,51,239.08
1042,M,22,123.64
1043,F,58,148.99
1044,F,23,44.22
1045,F,70,77.23
1046,M,57,283.37
1047,F,52,215.09
1048,M,49,195.75
1049,F,88,220.21
1050,F,42,295.94
1051,F,22,223.33
1052,M,49,168.05
1053,F,18,235.07
1054,F,23,298.85
1055,M,93,20.01
1056,F,24,183.52
1057,M,34,112.88
1058,F,28,213.17
1059,F,24,178.93
1060,F,74,19.76
1061,M,18,233.68
1062,F,20,168.72
1063,F,47,258.85
1064,F,20,60.04
1065,F,37,88.94
1066,F,24,94.18
1067,F,41,120.78
1068,F,44,117.85
1069,M,97,296.56
1070,F,20,42.11
1071,M,30,82.75
1072,F,26,166.96
1073,F,77,277.58
1074,M,93,109.84
1075,F,20,90.63
1076,M,20,198.13
1077,F,20,245.04
1078,F,43,131.37
1079,F,20,100.44
1080,F,28,23.39
1081,F,62,121.11
1082,M,44,161.88
1083,M,70,61.1
1084,M,75,297.05
1085,M,20,42.93
1086,F,79,11.34
1087,F,63,152.66
1088,M,47,76.35
1089,F,57,210.71
1090,M,18,118.01
1091,F,71,51.47
1092,F,54,242.83
1093,F,34,211.97
1094,F,96,52.42
1095,M,81,81.59
1096,M,41,134.7
1097,M,35,155.6
1098,F,22,294.89
1099,M,75,273.27
1100,F,18,117.9
1101,F,42,182.63
1102,F,89,120.57
1103,F,22,190.06
1104,M,18,119.04
1105,F,30,285.95
1106,M,98,195.63
1107,M,96,179.53
1108,F,23,296.82
1109,M,93,255.2
1110,M,36,73.28
1111,F,22,32.21
1112,F,57,253.63
1113,F,30,183.77
1114,M,23,262.73
1115,F,39,66.76
1116,F,34,296.56
1117,F,46,291.15
1118,F,30,268.94
1119,F,20,190.55
1120,F,18,65.95
1121,M,23,291.92
1122,M,20,126.71
1123,F,49,162.73
1124,M,25,40.94
1125,F,37,59.72
1126,F,95,186.16
1127,M,21,282.57
1128,M,24,207.47
1129,M,79,57.9
1130,M,19,130.6
1131,F,32,291.39
1132,F,39,167.47
1133,M,74,267.45
1134,F,35,293.92
1135,F,24,44.94
1136,M,19,8.49
1137,M,38,181.13
1138,F,64,90.73
1139,F,56,13.82
1140,M,87,149.07
1141,F,18,167.13
1142,M,21,282.24
1143,F,64,210.74
1144,M,24,6.31
1145,F,37,28.87
1146,F,48,249.03
1147,F,24,270.98
1148,F,34,34.73
1149,F,19,25.94
1150,M,53,46.34
1151,F,23,138.95
1152,F,78,33.29
1153,F,46,113.88
1154,F,47,92.68
1155,M,32,294.12
1156,F,79,5.49
1157,F,46,145.22
1158,F,53,241.61
1159,M,25,95.06
1160,M,36,117.13
1161,M,23,193.0
1162,F,41,260.71
1163,F,70,272.18
1164,F,18,221.35
1165,M,23,212.52
1166,M,92,177.14
1167,F,20,166.3
1168,M,24,260.17
1169,F,36,299.02
1170,F,25,272.91
1171,M,19,85.27
1172,M,23,145.5
1173,F,21,271.23
1174,M,22,113.38
1175,F,27,106.67
1176,F,54,143.75
1177,M,55,176.49
1178,F,77,5.08
1179,F,55,21.65
1180,F,60,279.37
1181,F,22,272.7
1182,F,32,97.54
1183,F,59,134.43
1184,F,25,30.98
1185,M,19,109.03
1186,M,67,226.09
1187,F,36,193.72
1188,F,39,145.61
1189,M,22,141.74
1190,M,28,276.81
1191,F,96,111.03
1192,M,39,91.03
1193,F,25,256.8
1194,M,43,92.13
1195,F,54,257.71
1196,F,62,75.02
1197,M,22,7.74
1198,F,18,248.48
1199,F,37,230.06
1200,M,31,89.48
1201,F,24,285.16
1202,M,52,295.81
1203,M,28,259.39
1204,M,18,89.53
1205,F,49,47.19
1206,F,28,7.36
1207,F,60,101.0
1208,F,93,120.22
1209,F,55,83.87
1210,F,18,91.78
1211,F,30,6.97
1212,F,24,260.06
1213,F,48,125.79
1214,M,35,55.72
1215,F,20,162.12
1216,M,24,50.42
1217,F,19,226.71
1218,M,37,72.65
1219,F,32,20.43
1220,F,34,104.98
1221,F,49,271.98
1222,F,24,215.67
1223,M,86,9.62
1224,F,40,96.97
1225,F,78,235.21
1226,F,36,205.52
1227,F,76,166.03
1228,M,20,250.36
1229,F,19,111.23
1230,F,18,224.98
1231,F,49,134.25
1232,F,19,200.31
1233,M,20,209.51
1234,F,51,101.57
1235,F,80,153.0
1236,F,86,158.24
1237,F,29,122.08
1238,F,57,47.71
1239,F,75,137.62
1240,F,22,28.25
1241,M,45,279.3
1242,M,60,130.55
1243,F,34,226.49
1244,F,82,222.98
1245,F,24,185.08
1246,M,22,79.88
1247,M,46,7.92
1248,F,24,138.2
1249,M,98,136.13
1250,M,30,24.71
1251,M,87,34.52
1252,M,48,279.3
1253,M,35,174.26
1254,F,44,113.58
1255,F,22,28.46
1256,M,62,209.29
1257,F,20,234.78
1258,M,18,55.63
1259,F,95,181.06
1260,F,43,38.8
1261,M,24,259.55
1262,F,20,22.95
1263,F,95,260.24
1264,M,24,94.79
1265,F,96,142.8
1266,M,45,287.43
1267,F,21,242.18
1268,M,41,51.77
1269,F,32,221.0
1270,F,24,97.07
